URL,EU-US Privacy Shield,Do Not Track,GDPR
https://facebook.com/,"[[<a href=""https://www.facebook.com/about/privacyshield"" target=""_blank""> EU-U.S. Privacy Shield and Swiss-U.S. Privacy Shield Notice </a>], [<li class=""_575j""><a href=""https://www.facebook.com/about/privacyshield"" target=""_blank""> EU-U.S. Privacy Shield and Swiss-U.S. Privacy Shield Notice </a></li>]]",[],[]
https://twitter.com/,"[[<p>When we transfer personal data outside of the European Union or EFTA States, we ensure an adequate level of protection for the rights of data subjects based on the adequacy of the receiving country’s data protection laws, contractual obligations placed on the recipient of the data (model clauses may be requested by inquiry as described below), or EU-US and Swiss-US Privacy Shield principles.</p>], [<a class=""p01__dropdown-item-link twtr-color--white-neutral"" href=""#chapter6"">
                        Our Global Operations and Privacy Shield
                      </a>, <a href=""https://www.privacyshield.gov/participant?id=a2zt0000000TORzAAO"" rel=""nofollow"">EU-US Privacy Shield certification and Swiss-US Privacy Shield certification</a>, <a href=""https://www.privacyshield.gov/article?id=G-Arbitration-Procedures"" rel=""nofollow"">Privacy Shield arbitration process</a>], [<h2 class=""p04__headline twtr-type twtr-color--white-neutral"">
      Our Global Operations and Privacy Shield
    </h2>]]",[],[]
https://google.com/,[],[],"[[<li>We restrict access to personal information to Google employees, contractors, and agents who need that information in order to process it. Anyone with this access is subject to strict contractual confidentiality obligations and may be disciplined or terminated if they fail to meet these obligations.</li>]]"
https://youtube.com/,[],[],[]
https://instagram.com/,[],[],[]
https://linkedin.com/,[],[],[]
https://wordpress.org/,[],[],[[<p>All of the information that is collected on WordPress.org will be handled in accordance with GDPR legislation.</p>]]
https://pinterest.com/,[],[],[]
https://wikipedia.org/,[],"[[<p>We do not allow tracking by third-party websites you have not visited.
</p>]]",[]
https://wordpress.com/,"[[<a href=""https://www.privacyshield.gov/welcome"">EU-US Privacy Shield</a>]]",[],"[[<p>If you are located in certain countries, including those that fall under the scope of the European General Data Protection Regulation (AKA the “GDPR”), data protection laws give you rights with respect to your personal data, subject to any exemptions provided by the law, including the rights to:</p>]]"
https://blogspot.com/,[],[],[]
https://apple.com/,[],[],"[[<li>We restrict access to personal information to Google employees, contractors, and agents who need that information in order to process it. Anyone with this access is subject to strict contractual confidentiality obligations and may be disciplined or terminated if they fail to meet these obligations.</li>]]"
https://adobe.com/,"[[<a href=""/privacy/eudatatransfers.html"" target=""_blank"">Privacy Shield/European data transfers</a>, <a href=""/privacy/eudatatransfers.html"" target=""_blank"">Privacy Shield/European data transfers</a>], [<li><span class=""text-light""><a href=""/privacy/eudatatransfers.html"" target=""_blank"">Privacy Shield/European data transfers</a></span></li>, <li><span class=""text-light""><a href=""/privacy/eudatatransfers.html"" target=""_blank"">Privacy Shield/European data transfers</a></span></li>]]",[],"[[<a class=""Subnav-menu-label"" data-type=""item"" href=""/privacy/general-data-protection-regulation.html"" target=""_self"" title=""GDPR"">GDPR</a>]]"
https://tumblr.com/,[],[],[]
https://youtu.be/,[],[],"[[<li>We restrict access to personal information to Google employees, contractors, and agents who need that information in order to process it. Anyone with this access is subject to strict contractual confidentiality obligations and may be disciplined or terminated if they fail to meet these obligations.</li>]]"
https://amazon.com/,"[[<a href=""#GUID-1B2BDAD4-7ACF-4D7A-8608-CBA6EA897FD3__SECTION_D17374D6EE5B4077946965351E11175C"">EU-US and Swiss-US Privacy Shield</a>, <a href=""/gp/help/customer/display.html/ref=hp_left_v4_sib?ie=UTF8&amp;nodeId=202135380"">EU-US Privacy Shield</a>], [<li><a href=""/gp/help/customer/display.html/ref=hp_left_v4_sib?ie=UTF8&amp;nodeId=202135380"">EU-US Privacy Shield</a></li>], [<h2>EU-US and Swiss-US Privacy Shield</h2>]]",[],[]
https://goo.gl/,[],[],"[[<li>We restrict access to personal information to Google employees, contractors, and agents who need that information in order to process it. Anyone with this access is subject to strict contractual confidentiality obligations and may be disciplined or terminated if they fail to meet these obligations.</li>]]"
https://vimeo.com/,[],[],"[[<p class=""sc-VigVT AydAF"" type=""features"">Choose exactly who’s allowed to see your video, before it even uploads. So whether you want to restrict access to specific people, soft launch a film to just your followers, or hide a rough cut from everyone, we got you.</p>, <p class=""sc-VigVT AydAF"" type=""features"">Private projects let you invite your team to share files, comment on works-in-progress, and more — and you control who sees what. You can even add your boss (or remove them).</p>, <p class=""sc-kGXeez kuangU"">Invite others to upload videos, collaborate on private projects, or manage your account. And control who sees what by setting individual permissions.</p>, <p class=""sc-kGXeez kuangU"">Invite others to upload videos, collaborate on private projects, or manage your account. And control who sees what by setting individual permissions.</p>, <p class=""sc-kGXeez kuangU"">Invite others to upload videos, collaborate on private projects, or manage your account. And control who sees what by setting individual permissions.</p>]]"
https://flickr.com/,[],[],[]
https://microsoft.com/,[],[],[]
